Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Information and communication,"THE APPOINTMENT OF A MAXIMUM OF FIVE (05) REPUTABLE AND CAPABLE PANEL OF SERVICE PROVIDERS TO SUPPLY, DELIVER AND MAINTAIN LAPTOPS FOR THE QUALITY COUNCIL FOR TRADES AND OCCUPATIONS ON AN AD-HOC BASIS FOR A PERIOD OF THIRTY –SIX (36) MONTHS.",19/08/2023,QCTO 07-2023,Quality Council for Trades and Occupations,Request for Bid(Open-Tender),Gauteng,19.08.2023,14.09.2023,256 GLYN STREET - HATFIELD - PRETORIA - 0008,N/A,LEKHOTLA MOTLOUNG,TENDERS@QCTO.ORG.ZA,012-003-1847,N/A,NO,NO,,Microsoft Teams,"https://www.etenders.gov.za/home/Download/?blobName=98b70835-2c5e-49ff-8b33-0b40e61aaef1.pdf&downloadedFileName=2.QCTO+07-2023+ADVERT+LAPTOPS.pdf, https://www.etenders.gov.za/home/Download/?blobName=562cca42-3ba6-4fcf-aa10-2b7f7a7654bd.pdf&downloadedFileName=5.+SCM-Bid+documents+SBD+3.3.pdf, https://www.etenders.gov.za/home/Download/?blobName=2bf32352-ea49-4d4b-8a78-37b82ab99eb8.pdf&downloadedFileName=4.+SBD+6.1+IN+TERMS+OF+PPR2022+TENDERS.pdf, https://www.etenders.gov.za/home/Download/?blobName=9a716aca-0aec-476d-9d04-5353fe25d856.pdf&downloadedFileName=7.General+conditions+of+contract.pdf, https://www.etenders.gov.za/home/Download/?blobName=0443bb35-af07-44a5-8e22-7b79aeab9f49.pdf&downloadedFileName=3.+SBD1.pdf, https://www.etenders.gov.za/home/Download/?blobName=80bc587c-2aa2-4e67-8b7d-a6d83aa27b9b.pdf&downloadedFileName=6.+Standard+Bidding+Document+%28SDB%29+4.pdf, https://www.etenders.gov.za/home/Download/?blobName=295ecf17-1292-46bb-8772-c8ebba0dad6c.pdf&downloadedFileName=1.QCTO+07-+2023++LAPTOP+SUPPLY+BID+DOCUMENT.pdf"
Air transport,Request for Quotation for Equipment and Machinery,19/08/2023,RFQ-072095,Agricultural Research Council,Request for Quotation,Gauteng,19.08.2023,25.08.2023,600 Belvedere Street - Pretoria - Pretoria - 0083,N/A,NB Majola,majolan@arc.agric.za,012-310-2532,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=618ba3fa-ac7e-4233-8451-4c289d0373a8.doc&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4.doc, https://www.etenders.gov.za/home/Download/?blobName=19c06275-d3e6-4cb6-ae2c-4e5cd9423465.pdf&downloadedFileName=Agricultural+Research+Council++-+Equipment+%26+Machinary+Specification.pdf, https://www.etenders.gov.za/home/Download/?blobName=fa66651e-8472-4caf-873a-a63129f39224.pdf&downloadedFileName=Request+for+Quotation+for+Equipment+and+Machinary..pdf, https://www.etenders.gov.za/home/Download/?blobName=eca99393-c210-4ac2-9c74-cb09b3a4684a.pdf&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022+%28002%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=13469398-f86c-4c55-b7d6-d55a9e02b277.xls&downloadedFileName=FINAL+BILL+OF+QUANTITIES+Equipment+and+Machinary.xls, https://www.etenders.gov.za/home/Download/?blobName=73c89cdb-18c3-4f4b-a068-ed8d9b960a7c.pdf&downloadedFileName=Annexture+A-ARC+Preference+Point+System.pdf"
Information and communication,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE WEBSITE CONTENT MANAGEMENT MAINTANCE AND SUPPORT FOR A PERIOD OF TWENTY-FOUR (24) MONTHS.  (RFQ NO: 75/2023),19/08/2023,(RFQ NO: 75/2023),National Regulator for Compulsory Specifications,Request for Quotation,Gauteng,19.08.2023,07.09.2023,"1 Dr Lategaan drive, SABS campus - Groenkloof - Tshwane - 0181",N/A,Glenda,glenda.mathane@nrcs.org.za,012-482-8765,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a4553d97-ab0f-4224-b1fb-a9b52e76b9ce.pdf&downloadedFileName=WEBSITE+CONTENT+MANAGEMENT+MAINTANCE+AND+SUPPORT+FOR+A+PERIOD+OF+TWENTY-FOUR+%2824%29+MONTHS.1.pdf
"Financial service activities, except insurance and pension funding","CONSULTANTS FOR PREPARATION AND/OR REVIEW OF FINANCIAL STATEMENTS, REVIEW OF STANDARD OPERATING PROCEDURES AND ASSETS MANAGEMENT FOR A PERIOD OF THREE (3) YEARS",19/08/2023,GM2023/89,Gamagara Local Municipality,Request for Bid(Open-Tender),Northern Cape,19.08.2023,05.10.2023,Corner Hendrick van Eck and Frikkie Meyer - Kathu  - Kathu  - 8446,"Email Mr S Letshabo at letshabos@gamagara.gov.za for enquiries 
Email Mr. A Makoku at makokua@gamagara.gov.za for enquiries",Aobakwe Makoku,makokua@gamagara.gov.za,053-723-6000,N/A,Yes,Yes,"Monday, 28 August 2023 - 10:00","Gamagara Municipality Main Office, Old Council,Corner Hendrick Van Eck and Frikkie Meyer, Kathu,8446",https://www.etenders.gov.za/home/Download/?blobName=6356c3e9-81bd-43d1-a666-9b56bfbb37f6.pdf&downloadedFileName=V2+FINANCIAL+SERVICES++OF+CONSULTANTS+FOR+PREPARATION+AND+OR+REVIEW+OF+FINANCIAL+STATEMENTS+REVIEW+OF+STANDARD+OPERATING+PROCEDURES+AND+ASSETS+MANAGEMENT+FOR+A+_.pdf
Other service activities,pH & DO online analyser Project at Lethabo Power Station for a period of five (05) years,19/08/2023,MWP2157GX,ESKOM,Request for Bid(Open-Tender),National,19.08.2023,19.09.2023,Lethabo Power Station - Deneysville Vaal Road Dam  - Vereeniging - 1930,N/A,Shad Hayman,HaymanST@eskom.co.za,013-693-4724,N/A,Yes,NO,,Ms Teams,"https://www.etenders.gov.za/home/Download/?blobName=68c8ec70-636b-4509-b992-0a007cd867fe.pdf&downloadedFileName=Integrity+Pact+Declaration+Form.pdf, https://www.etenders.gov.za/home/Download/?blobName=e3680144-66ba-4de5-8d41-77762fd72936.pdf&downloadedFileName=240-105658000+_Supplier+Quality+Management+Specification.pdf, https://www.etenders.gov.za/home/Download/?blobName=eb30870b-727e-4496-a206-a982bac2e249.pdf&downloadedFileName=SBD+6.2+Local+Content+Form_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=a3487e84-eae6-4b2c-b133-b939eb6d085e.pdf&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4.pdf, https://www.etenders.gov.za/home/Download/?blobName=504da563-0eb4-4ed6-bc54-d907b412a368.docx&downloadedFileName=Supplier+Declaration+of+Interest.docx, https://www.etenders.gov.za/home/Download/?blobName=38454104-0bcb-4a94-bcc4-e9d5148e9baa.pdf&downloadedFileName=Eskom_Standard_Conditions_of_Tender_%28Latest+verison+of+2023%29.pdf"
Services: General,Horticulture Maintenance Services at Vaal Power Village and Garden Maintenance of Eskom vacant houses at Vaalpark and Three Rivers for a period of five (5) years,19/08/2023,MWP2156GX,ESKOM,Request for Bid(Open-Tender),National,19.08.2023,21.09.2023,Lethabo Power Station - Deneysville Vaal Road Dam - Vereeniging - 1930,N/A,Shad Hayman,HaymanST@eskom.co.za,013-693-4724,N/A,Yes,NO,"Monday, 28 August 2023 - 10:00",Ms Teams,"https://www.etenders.gov.za/home/Download/?blobName=a74aac28-512e-4986-97e6-19a80ed11c1d.docx&downloadedFileName=Supplier+Declaration+of+Interest.docx, https://www.etenders.gov.za/home/Download/?blobName=44f33072-32e0-498e-b63c-2cfba7185155.pdf&downloadedFileName=Eskom_Standard_Conditions_of_Tender_%28Latest+verison+of+2023%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=2861bf3a-cd97-4b4c-8d3d-5abdd7ff267c.pdf&downloadedFileName=Integrity+Pact+Declaration+Form.pdf, https://www.etenders.gov.za/home/Download/?blobName=938b02d1-798b-42d2-920f-9aa99f57e628.pdf&downloadedFileName=SBD+6.2+Local+Content+Form_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=01fef93d-5083-4f08-95be-ba39ff905487.pdf&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4.pdf"
Services: General,Expression of Interest to update mechanisation database for Chris Hani District,19/08/2023,CHD-MECH-2023/24,Eastern Cape - Rural Development and Agrarian Reform,Expression of interest,Eastern Cape,19.08.2023,22.08.2023,"Corner Power Station, Church Street in Ngcobo) - Ngcobo - Ngcobo - 5050",N/A,Ms K Mbuqwa,khutala.mbuqwa@drdar.gov.za,045-807-7016,045-807-7096,Yes,NO,"Thursday, 10 August 2023 - 11:00","Corner Power Station, Church Street in Ngcobo)",https://www.etenders.gov.za/home/Download/?blobName=667d925a-d4f5-4798-9b8c-c429d97dbb21.pdf&downloadedFileName=EOI+CHRIS+HANI+DISTRICT+2023+FINAL+03+AUGUST+2023+PDF.pdf
Services: General,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE TRAINING AND ACCOMMODATION FACILITIES FOR THE CRIME PREVENTION WARDENS.,18/08/2023,GT/GDCS/060/2023,Gauteng - Community Safety,Request for Bid(Open-Tender),Gauteng,18.08.2023,01.09.2023,75 Fox Street Imbumba House -  Marshalltown - Johannesburg - 2000,N/A,Thebe Mereotlhe / Lucia.Khoza,Thebe.Mereotlhe@gauteng.gov.za,083-776-5817,083-776-5817,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=b07d80b8-fa2d-4296-99eb-00ad4ce60220.pdf&downloadedFileName=GT+GDCS+060+2023+SECTION+1B.pdf, https://www.etenders.gov.za/home/Download/?blobName=86441c01-bb4e-4cb3-b0aa-208d88fef23d.pdf&downloadedFileName=GT+GDCS+060+2023+SECTION+2A.pdf"
Services: Professional,Appointment of a service provider for Development of a Business Case for the Gauteng City Region (GCR) Planning House,18/08/2023,COGTA 12/2023,Department of Corporative Governance and Traditional Affairs,Request for Bid(Open-Tender),Gauteng,18.08.2023,11.09.2023,"Provincial Disaster Management Centre, 11 Janadel Avenue - Midrand - Johannesburg - 1685",N/A,Ms Phumzile Malgas or Ms Mahlatse Madiba,phumzile.malgas@gauteng.gov.za,010-345-0832,010-345-0832,Yes,Yes,"Thursday, 24 August 2023 - 11:00","Disaster Management Centre, 11 Janadel Avenue, Riverview Office Park, Midrand, Oceania Boardroom",https://www.etenders.gov.za/home/Download/?blobName=cdecbfeb-f472-4678-a450-f322d18a09b1.pdf&downloadedFileName=Tender+Document.pdf
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE AN TIMED ONLINE AUCTION BIDDING PLATFORM AND RELATED SERVICES FOR THE SALE OF WILDLIFE FOR TWO (02) YEARS,18/08/2023,RFQ-064-23,South African National Parks,Request for Quotation,National,18.08.2023,25.08.2023,643 Leyds Street - Muckleneuk - Pretoria - 0002,scmquotations@sanparks.org (Please note that any submissions made to any other email other than the designated email will not be accepted),Mpho Masia,mpho.masia@sanparks.org,012-426-5083,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c0797ea8-d5f7-4589-899e-a402d15adad9.pdf&downloadedFileName=RFQ-064-23.pdf
Services: Functional (Including Cleaning and Security Services),SUPPLY OF CLEANING FOR KOMANI LABOUR OFFICES AT THE DEPARTMENT OF EMPLOYMENT AND LABOUR EASTERN CAPE. LECC 01/2023,18/08/2023,LECC 01/2023,National - Employment and Labour,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,28.09.2023,"Komani Labour Centre, 10 Robinson Road - Komani - Queenstown - 5320","Briefing session is compulsory, please print and come with tender document. download tender documents at etenders.gov.za and www.labour.gov.za > Tenders > available tenders.",Tsietsi Radebe,tsietsi.radebe@labour.gov.za,043-701-3088,N/A,Yes,Yes,"Wednesday, 06 September 2023 - 10:00","10 Robinson Road, Queenstown, 5320",https://www.etenders.gov.za/home/Download/?blobName=dc9ddd76-c357-4043-9f07-cb620fddcd88.pdf&downloadedFileName=EC+CLEANING+KOMANI+LECC+01+2023.pdf
Services: Functional (Including Cleaning and Security Services),SUPPLY OF SECURITY FOR EAST LONDON PROVINCIAL OFFICE LABOUR OFFICES AT THE DEPARTMENT OF EMPLOYMENT AND LABOUR EASTERN CAPE. LECS 01/2023,18/08/2023,LECS 01/2023,National - Employment and Labour,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,28.09.2023,3 Hill Street - East London - East London - 5201,"Briefing session is compulsory, please print and come with tender document. download tender documents at etenders.gov.za and www.labour.gov.za > Tenders > available tenders.",Tsietsi Radebe,tsietsi.radebe@labour.gov.za,043-701-3088,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 10:00","3 Hill Street,  East London,  5201",https://www.etenders.gov.za/home/Download/?blobName=db0694f4-c819-468d-b875-deb4fe8a2933.pdf&downloadedFileName=EC+SECURITY+E+L+PROVINCIAL+LECS+01+2023.pdf
Services: Functional (Including Cleaning and Security Services),SUPPLY OF SECURITY FOR EAST LONDON LABOUR CENTRE LABOUR OFFICES AT THE DEPARTMENT OF EMPLOYMENT AND LABOUR EASTERN CAPE. LECS 02/2023,18/08/2023,LECS 02/2023,National - Employment and Labour,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,28.09.2023,"IGI Building, Ensuco Cnr Oxford and Hill Street - East London - East London - 5201","Briefing session is compulsory, please print and come with tender document. download tender documents at etenders.gov.za and www.labour.gov.za > Tenders > available tenders.",Radebe Tsietsi,tsietsi.radebe@labour.gov.za,043-701-3088,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 10:00","3 Hill Street,  East London,  5201",https://www.etenders.gov.za/home/Download/?blobName=e5be60ae-1be7-4982-9315-b6df4680d50b.pdf&downloadedFileName=EC+SECURITY+EAST+LONDON+LC+LECS+02+2023+.pdf
Services: Functional (Including Cleaning and Security Services),SUPPLY OF SECURITY FOR MDANTSANE LABOUR CENTRE LABOUR OFFICES AT THE DEPARTMENT OF EMPLOYMENT AND LABOUR EASTERN CAPE. LECS 03/2023,18/08/2023,LECS 03/2023,National - Employment and Labour,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,28.09.2023,Mzaule Street - Mdantsane Highway - Mdantsane Highway - 5219,"Briefing session is compulsory, please print and come with tender document. download tender documents at etenders.gov.za and www.labour.gov.za > Tenders > available tenders",Radebe Tsietsi,tsietsi.radebe@labour.gov.za,043-701-3088,N/A,Yes,Yes,"Monday, 04 September 2023 - 10:00",Mzaule Street Mdantsane Highway 5219,https://www.etenders.gov.za/home/Download/?blobName=97577b38-099d-4a65-80dd-b4414e472c4c.pdf&downloadedFileName=EC+SECURITY+MDANTSANE+LC+LECS+03+2023.pdf
Services: Functional (Including Cleaning and Security Services),SUPPLY OF SECURITY FOR QONCE LABOUR CENTRE LABOUR OFFICES AT THE DEPARTMENT OF EMPLOYMENT AND LABOUR EASTERN CAPE. LECS 04/2023,18/08/2023,LECS 04/2023,National - Employment and Labour,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,28.09.2023,34 Arthur Street - King William’s Town - King William’s Town - 5600,"Briefing session is compulsory, please print and come with tender document. download tender documents at etenders.gov.za and www.labour.gov.za > Tenders > available tenders.",Tsietsi Radebe,tsietsi.radebe@labour.gov.za,043-701-3088,N/A,Yes,Yes,"Monday, 04 September 2023 - 13:00",34 Arthur Street King William’s Town 5600,https://www.etenders.gov.za/home/Download/?blobName=7635bb63-0bd7-4559-bf66-5c2738a6d65b.pdf&downloadedFileName=EC+SECURITY+QONCE+LC+LECS+04+2023.pdf
Services: Functional (Including Cleaning and Security Services),INVITATION FOR SERVICE PROVIDER(S) TO PROVIDE ESCORTING AND PROTECTION OF THE NATIONAL SENIOR CERTIFICATE (NSC) EXAMINATION MATERIALS DURING THE NATIONAL EXAMINATIONS OF GAUTENG DEPARTMENT OF EDUCATION FOR A FIXED TERM PERIOD OF THREE (3) YEARS,18/08/2023,GT/GDE/062/2023,Gauteng - Education,Request for Bid(Open-Tender),Gauteng,18.08.2023,08.09.2023,17 Simmonds Street - Marshalltown  - Johannesburg - 2000,N/A,Procurement Buyer,procurement5@gauteng.gov.za,011-355-0883,011-355-0883,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=d24ecb1e-bac4-41ff-b769-1e323d140906.pdf&downloadedFileName=GT+GDE+062+2023+SECTION+1B.pdf, https://www.etenders.gov.za/home/Download/?blobName=e6c4b9aa-9b64-47e1-a1d2-787526e34186.pdf&downloadedFileName=GT+GDE+062+2023+SECTION+2.pdf"
